model,accuracy,f1_macro,cv_f1_mean,cv_f1_std
Random Forest,0.9442,0.9444,0.933,0.0028
Gradient Boosting,0.9705,0.9706,0.9668,0.007
Logistic Regression,0.9829,0.983,0.9791,0.009
Neural Network,0.9488,0.9489,0.9501,0.0125
