,total_population,median_income,poverty_count,poverty_pct,elderly_population,elderly_pct,disability_count,disability_pct,uninsured_count,uninsured_pct,latitude,longitude,dist_nearest_hospitals_km,dist_2nd_nearest_hospitals_km,count_hospitals_50km,dist_nearest_fire_stations_km,dist_2nd_nearest_fire_stations_km,count_fire_stations_50km,dist_nearest_ems_stations_km,dist_2nd_nearest_ems_stations_km,count_ems_stations_50km,dist_nearest_nursing_homes_km,dist_2nd_nearest_nursing_homes_km,count_nursing_homes_50km,disaster_count,disaster_flood,disaster_severe_storms,disaster_hurricane,disaster_fire,disaster_tornado,disaster_count_recent,vulnerability_index,density_hospitals_per10k,density_fire_stations_per10k,density_ems_stations_per10k,density_nursing_homes_per10k,isolation_index,risk_score,compound_risk_count,compound_risk_flag,neighbor_avg_risk,risk_contagion_delta,disasters_2015_2025,disasters_2005_2014,disaster_acceleration,redundancy_score,zero_redundancy_flag,pop_weighted_vulnerability,pop_weighted_risk,pop_weighted_vulnerability_norm,pop_weighted_risk_norm,state_fips,risk_score_state_pctile,vulnerability_index_state_pctile,isolation_index_state_pctile,counties_in_state,gap_hospital,gap_ems,gap_fire,gap_poverty,gap_disaster_prep,top_intervention_score
count,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0,3222.0
mean,103777.149,-144603.297,13001.224,14.57,17213.092,19.754,13241.399,15.894,8852.857,9.427,37.972,-91.564,20.09,37.266,8.985,8.8,13.941,59.751,30.744,45.346,8.843,18.668,37.076,17.581,20.923,3.402,0.0,4.173,1.09,0.497,7.506,0.26,3.132,22.2,3.663,5.094,0.002,0.261,1.041,0.055,0.259,-0.001,7.177,5.483,1.338,0.997,0.023,22025.034,24718.817,0.012,0.005,31.275,0.508,0.508,0.508,95.924,0.004,0.001,0.002,0.203,0.122,0.213
std,329949.378,11745920.843,43264.373,7.498,49031.21,4.809,36125.973,4.52,35498.275,5.059,6.107,14.179,101.417,107.981,14.141,98.241,98.643,71.73,483.55,483.759,16.977,107.046,485.176,30.494,10.011,3.166,0.0,5.578,2.817,0.817,6.247,0.068,8.268,32.213,11.738,6.99,0.018,0.093,0.905,0.228,0.077,0.053,6.149,3.284,1.233,0.018,0.15,66018.018,112267.579,0.035,0.023,16.285,0.289,0.289,0.289,56.41,0.018,0.018,0.018,0.117,0.058,0.115
min,50.0,-666666666.0,3.0,1.6,11.0,2.89,10.0,3.95,0.0,0.0,17.948,-164.189,0.158,0.55,0.0,0.041,0.291,0.0,0.213,0.711,0.0,0.162,0.534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,-0.472,0.0,0.0,0.0,0.0,0.0,13.93,0.0,0.0,0.0,1.0,0.004,0.004,0.004,1.0,0.0,0.0,0.0,0.0,0.0,0.046
25%,11039.75,51814.75,1526.25,9.83,2236.75,16.722,1836.0,12.69,909.0,5.73,34.352,-98.076,5.514,19.085,2.0,2.609,5.502,23.0,6.114,17.114,2.0,4.132,8.707,4.0,15.0,1.0,0.0,1.0,0.0,0.0,4.0,0.21,0.683,6.243,0.457,1.259,0.001,0.194,0.0,0.0,0.203,-0.032,4.0,3.0,0.615,0.997,0.0,3048.252,2896.982,0.002,0.001,19.0,0.258,0.258,0.258,64.0,0.001,0.0,0.0,0.129,0.087,0.142
50%,25910.0,60458.5,3799.5,13.09,5004.5,19.39,4311.0,15.3,2201.0,8.225,38.217,-89.943,11.254,31.04,5.0,4.652,8.97,45.0,13.919,29.429,5.0,8.743,19.19,10.0,20.0,3.0,0.0,1.0,0.0,0.0,6.0,0.254,1.627,14.279,1.7,3.023,0.001,0.25,1.0,0.0,0.248,-0.0,6.0,5.0,1.0,0.998,0.0,7014.27,6732.915,0.004,0.001,30.0,0.507,0.507,0.507,87.0,0.002,0.0,0.001,0.18,0.116,0.187
75%,67370.5,70376.25,9767.75,17.195,12732.0,22.27,10744.5,18.51,5618.75,11.87,41.7,-82.968,23.622,42.104,9.0,8.05,14.474,74.0,30.67,46.784,11.0,17.624,33.028,18.75,25.0,5.0,0.0,6.0,1.0,1.0,10.0,0.304,3.734,29.423,4.36,6.775,0.002,0.32,2.0,0.0,0.31,0.031,9.0,7.0,1.571,0.998,0.0,16806.71,16861.555,0.009,0.003,46.0,0.759,0.759,0.759,105.0,0.004,0.001,0.001,0.244,0.145,0.25
max,9936690.0,170463.0,1343978.0,65.57,1415856.0,57.91,1045189.0,41.1,997287.0,45.12,69.449,179.621,5558.186,5769.545,165.0,5557.636,5558.248,927.0,27432.962,27433.913,248.0,5769.21,27432.873,381.0,172.0,25.0,0.0,33.0,61.0,6.0,150.0,0.576,400.0,1200.0,600.0,200.0,1.0,1.0,4.0,1.0,0.668,0.295,150.0,25.0,18.75,1.0,1.0,1911581.58,4959401.98,1.0,1.0,72.0,1.0,1.0,1.0,254.0,1.0,1.0,1.0,1.0,1.0,1.0
